,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,DisbursementGross,Franchise,SBA_proportion,Default
0,60,7,1,3,10,1,0,1,85163,0,33.300000000000004,0
1,7,15,1,0,0,0,0,1,100591,0,33.300000000000004,0
2,84,5,1,0,0,0,1,1,50000,0,33.300000000000004,0
3,36,2,1,0,0,0,0,1,25000,0,33.300000000000004,0
4,4,8,1,0,0,0,0,1,99193,0,33.300000000000004,1
5,36,5,1,0,0,0,0,1,50000,0,33.300000000000004,0
6,36,1,1,0,0,0,0,1,12000,0,33.300000000000004,0
7,10,1,1,0,0,0,0,1,24737,0,33.300000000000004,1
8,36,4,1,0,0,0,0,1,75000,0,33.300000000000004,0
9,36,2,1,0,0,0,0,1,100000,0,33.300000000000004,0
10,83,1,1,0,0,0,0,1,36700,0,33.300000000000004,0
11,84,9,1,0,0,0,1,1,100000,0,33.300000000000004,0
12,36,3,1,0,0,0,0,1,85000,0,33.300000000000004,0
13,60,25,1,0,0,0,1,1,100000,0,33.300000000000004,0
14,36,1,1,0,0,0,0,1,92000,0,33.300000000000004,0
15,36,4,1,0,0,0,1,1,17143,0,33.300000000000004,0
16,36,1,1,0,0,0,0,1,73250,0,33.300000000000004,0
17,36,8,1,0,0,0,0,1,50000,0,33.300000000000004,0
18,36,8,1,0,0,2,0,1,10000,0,33.300000000000004,0
19,60,7,1,0,0,0,1,1,20000,0,33.300000000000004,0
20,36,2,2,0,0,0,0,1,50000,0,33.300000000000004,0
21,60,28,1,0,0,0,0,1,200000,0,33.300000000000004,0
22,84,1,2,0,0,1,1,1,50000,0,44.4,0
23,45,1,1,1,0,1,0,1,53500,0,33.300000000000004,1
24,72,5,1,0,5,1,0,1,186965,0,33.300000000000004,0
25,84,3,1,0,0,1,0,1,21000,0,33.300000000000004,0
26,65,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
27,61,3,1,0,0,1,0,1,50000,0,33.300000000000004,1
28,67,6,1,0,0,1,0,1,50000,0,33.300000000000004,1
29,84,2,1,0,0,1,0,1,19600,0,33.300000000000004,0
30,36,1,1,0,0,1,1,1,10000,0,33.300000000000004,0
31,36,65,1,0,0,1,0,1,125000,0,33.300000000000004,0
32,84,65,1,0,0,1,1,1,124929,0,45.9,0
33,26,1,1,0,0,1,1,1,16500,0,33.300000000000004,1
34,84,2,2,0,0,1,0,1,12814,0,33.300000000000004,0
35,17,8,1,0,0,1,0,1,60621,0,33.300000000000004,1
36,84,1,1,0,0,2,0,1,29600,0,33.300000000000004,0
37,24,2,2,0,2,2,0,1,106051,0,33.300000000000004,1
38,84,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
39,84,2,1,0,0,1,0,1,25000,0,33.300000000000004,0
40,84,1,1,0,0,1,0,1,30000,0,33.300000000000004,0
41,34,2,1,0,0,1,0,1,96190,0,33.300000000000004,1
42,35,1,1,0,0,2,0,1,15040,0,33.300000000000004,1
43,84,7,1,0,0,1,0,1,75000,0,33.300000000000004,0
44,31,1,1,0,0,1,1,1,50000,0,33.300000000000004,1
45,84,3,1,0,0,1,0,1,67324,0,33.300000000000004,0
46,48,2,2,0,0,1,0,1,35000,0,33.300000000000004,1
47,68,6,1,0,0,1,0,1,50000,0,33.300000000000004,1
48,84,3,1,0,0,1,1,1,50000,0,33.300000000000004,0
49,84,2,1,0,0,1,0,1,25000,0,33.300000000000004,0
50,84,1,2,0,0,1,0,1,20000,0,33.300000000000004,0
51,37,1,1,1,2,1,0,1,41273,0,33.300000000000004,1
52,84,1,1,0,0,2,0,1,7500,0,33.300000000000004,0
53,7,32,1,0,0,1,0,1,42000,0,33.300000000000004,1
54,84,1,1,0,0,1,0,1,25847,0,33.300000000000004,0
55,84,3,1,0,0,2,0,1,68783,0,33.300000000000004,0
56,84,5,2,0,0,1,0,1,10000,0,33.300000000000004,0
57,38,7,1,0,0,1,1,1,66734,0,33.300000000000004,1
58,84,2,2,0,0,1,0,1,10000,0,33.300000000000004,0
59,84,1,1,0,1,1,0,1,75780,0,33.300000000000004,0
60,10,6,1,0,0,2,0,1,66947,0,33.300000000000004,1
